Symbol,LTP,%chng,Days Since High,Today's Date,Series Type,Market Cap,P/E Ratio,ROE,ROCE,Sector,Industry,About,Latest Price
MAZDOCK,3422.0,-2.85,3.0,19-May-25,Equity,"₹ 1,37,457 Cr.",51.8,37.8 %,50.6 %,Aerospace & Defence,Miscellaneous,"Mazagon Dock Shipbuilders Limited (MDL), Mumbai, established in 1774, is a prominent shipyard in India. Initially a small dry dock, MDL has evolved into a renowned shipbuilding company. It has constructed 801 vessels since 1960, including warships, submarines, cargo/passenger ships, and offshore platforms.",3422
MEDPLUS,903.55,2.03,3.0,19-May-25,Equity,"₹ 10,871 Cr.",300,0.82 %,1.23 %,Retail,Trading,,903.55
MFSL,1392.9,2.78,3.0,19-May-25,Equity,"₹ 47,995 Cr.",Book Value,-0.14 %,-0.13 %,Finance,Finance & Investments,"Max Financial Services Limited incorporated on 24 February, 1988 is part of India’s leading business conglomerate – the Max Group. Company is primarily engaged in growing and nurturing business investments and providing management advisory services to Indian group companies. It owns and actively manages an 81.83% majority stake in Max Life Insurance, India’s largest non-bank life insurer and 4th largest private life insurance company.",1392.9
NAZARA,1264.0,0.37,3.0,19-May-25,Equity,"₹ 11,107 Cr.",Book Value,-8.39 %,-7.82 %,Telecomm-Service,Telecommunications - Service Provider,"Nazara Technologies is the leading India based diversified gaming and sports media platform with presence in India and across emerging and developed global markets such as Africa and North America, and offerings across the interactive gaming, eSports and gamified early learning ecosystems.",1264
PARAS,1714.7,-4.71,3.0,19-May-25,Equity,"₹ 6,879 Cr.",106,11.9 %,16.4 %,Aerospace & Defence,Engineering,"Paras Defence and Space Technologies (PDST) is an Private sector company primarily engaged in the designing, developing, manufacturing, and testing of a variety of defence and space engineering products and solutions. The company caters to four major segments - Defence & Space Optics, Defence Electronics, Heavy Engineering and Electromagnetic Pulse Protection Solutions.",1714.7
PKTEA,891.0,13.42,123.0,19-May-25,Equity,₹ 277 Cr.,89.6,0.42 %,1.50 %,Plantation & Plantation Products,Tea,"Incorporated in 1913, Peria Karamalai
Tea & Produce Co Ltd deals in production
and distribution of Tea, generation and distribution of power and investment in
financial instruments",891
PRIVISCL,2285.0,-1.54,4.0,19-May-25,Equity,"₹ 8,916 Cr.",47.1,18.7 %,17.9 %,Chemicals,Chemicals,"Incorporated in 1985, Privi Speciality Chemicals Ltd (Formerly known as Privi Speciality Ltd.) is primarily engaged in the manufacturing, supply and exports of aroma and fragrance chemicals used in soaps, detergents, shampoos, and other fine fragrances.",2285
REDINGTON,279.44,-0.26,6.0,19-May-25,Equity,"₹ 21,923 Cr.",15.7,30.9 %,28.9 %,Trading,Trading,"Established in the year 1993, Redington Limited is a leading distributor of IT and mobility products and a provider of supply chain management solutions and support services in India, the Middle East, Turkey and Africa.",279.44
RMDRIP,545.0,0.02,3.0,19-May-25,SME,"₹ 1,361 Cr.",56.9,39.7 %,44.6 %,Plastic products,Plastics Products,"Incorporated in 1996, R M Drip & Sprinklers Systems Ltd manufactures micro irrigation systems[1]",545
SBFC,105.6,-2.1,5.0,19-May-25,Equity,"₹ 11,519 Cr.",33.4,11.6 %,11.5 %,Finance,Finance & Investments,"Incorporated in 2008, SBFC Finance Limited is a systemically important, NBFC (NBFC-ND-SI) offering Secured MSME Loans and Loans against Gold[1]",105.6
SDBL,147.85,1.71,360.0,19-May-25,Equity,"₹ 2,881 Cr.",51.9,10.8 %,13.9 %,Alcoholic Beverages,Breweries & Distilleries,"Incorporated in 1993, Som Distilleries & Breweries Ltd. is one of the leading alcoholic beverages manufacturers in India engaged in the manufacturing and sale of Beer and Indian Made Foreign Liquor (IMFL).",147.85
SHANKARA,804.9,8.51,3.0,19-May-25,Equity,"₹ 1,941 Cr.",26.6,11.5 %,19.9 %,Retail,Trading,Shankara Building Products Ltd is one of the India's leading organized retailers of home improvement and building products in India. It caters to a large customer base spread across various end-user segments in urban and semi-urban markets through a retail led multi-channel approach.,804.9
SOUTHBANK,28.84,4.68,332.0,19-May-25,Equity,"₹ 7,519 Cr.",5.77,13.8 %,6.50 %,Banks,Banks - Private Sector,"Established in 1929, South Indian Bank was the first ‘scheduled bank’ amongst the private banks in Kerala. It has strong presence in south India and particularly in Kerala. South Indian Bank provides retail and corporate banking, para banking activities such as debit card, third party financial product distribution, in addition to Treasury and Foreign Exchange Business.",28.84
SUVEN,208.17,10.3,4.0,19-May-25,Equity,"₹ 4,533 Cr.",Book Value,-5.72 %,-5.72 %,Healthcare,Miscellaneous,"Suven Life Sciences Ltd is a clinical-stage biopharmaceutical company focused on the acquisition, development and commercialisation of novel therapeutics for the treatment of neurodegenerative disorders.",208.17
SVLL,607.0,1.28,21.0,19-May-25,Equity,₹ 698 Cr.,319,6.61 %,16.7 %,Logistics,Miscellaneous,"Incorporated in 2007, Shree Vasu Logistics
Ltd provides Logistics, Warehousing and
allied services and does Retail Trading",607
SWANDEF,154.74,4.99,10.0,19-May-25,Equity,₹ 775 Cr.,Book Value,-23.8 %,-3.53 %,Ship Building,Miscellaneous,"Incorporated in 1997, Swan Defence and Heavy Industries Ltd is engaged in the construction of vessels, repairs, and refits of ships and rigs and heavy engineering",154.74
TANKUP,225.0,1.53,3.0,19-May-25,SME,₹ 120 Cr.,46.6,107 %,62.8 %,Engineering,Engineering,"Incorporated in 2020, Tankup Engineers
Ltd designs and manufactures mobility
and storage solutions for special-purpose applications",225
TDPOWERSYS,498.0,1.36,3.0,19-May-25,Equity,"₹ 7,787 Cr.",49.9,20.3 %,27.8 %,Capital Goods - Electrical Equipment,Electric Equipment,TD Power Systems Ltd is engaged in manufacturing AC generators and Electric motors for various applications which are specifically designed to suit the needs of the customers based on their requirements and specifications.,498
TERASOFT,291.0,5.0,3.0,19-May-25,Equity,₹ 365 Cr.,38.6,8.04 %,11.2 %,IT - Software,Computers - Software - Medium / Small,"Incorporated in 1994, Tera Software Ltd is in
the business of IT & Integrated related services",291
UNIVAFOODS,11.19,0.0,7.0,19-May-25,Equity,₹ 16.0 Cr.,Book Value,%,-355 %,Hotels & Restaurants,Hotels,"Incorporated in 1991, Univa Foods Ltd (Formerly Hotel Rugby Ltd) is in the hotel business[1]",11.19
VGINFOTECH,189.0,5.0,,19-May-25,SME,₹ 470 Cr.,29.3,44.9 %,33.3 %,IT - Software,Computers - Software - Medium / Small,"Incorporated in September 1997, Virtual Galaxy Infotech Limited (VGIL) is an IT services and consulting firm based in Nagpur, Maharashtra, India.[1]",189
